一	1
剌	1 口 木无横 刂
前	丷 1 青字底 刂
剎	乂 木 4 刂
剏	丷 开 刃
剐	口 内 刂
剑	亼 学字头 1 刂
剒	龷 日 刂
剓	3 木 勹 3 刀
剔	日 勹 横两撇 刂
剕	非 刂
剖	立无横 1 口 刂
剗	1 戈无一 1 戈无一 刂
剘	艹 三 八 刂
剙	丷 开 刀 横两点
剚	1 口 聿三 2 刂
剛	冂 丷 1 山 刂
剜	宀 久二 4 5 6 刂
剝	6 5 1 2 率字腰 刂
剞	大 1 口 2 刂
剟	又 又 又 又 刂
剠	京 刂
剡	火 火 刂
剢	豕二 豸字底 4 水字边 刂
剣	亼 口 人 刂
剤	亠 乂 乔字底 二 刂
剥	5 二 2 率字腰 刂
剦	大 日 6 刂
剧	尸 十 口 刂
剨	三 2 丆 口 刂
剩	3 十 2 二 匕 全字头 刂
剪	丷 1 青字底 刂 刀
剫	广 艹 1 又 刂
剬	山 丆 冂 临字旁 刂
剭	尸 1 厶 土 刂
剮	冎 口 刂
副	1 口 田 刂
剰	千二 龷 木无横 刂
剱	亼 口 人 刃
割	宀 三 2 口 刂
剳	艹 亼 口 刂
剴	山 1 口 丷 1 刂
創	亽 彐 3 口 刂
剶	6 5 1 豕省 刂
剷	立无横 厂 3 龶 刂
剸	1 日 虫无口 寸 刂
剹	习 习 全字头 彡 刂
剺	未 攵 厂 刀
剻	山 月 月 刂
剼	厶 厶 厶 全字头 彡 刂
剽	覀 二 小 刂
剾	1 口 口 口 6 刂
剿	巛 日 木 刂
劀	5 4 矛无龴 冂 八 口 刂
劁	亻 隹字边 灬 刂
劂	厂 屰 欠 刂
劃	聿三 土 田 1 刂
劄	竹头 亼 口 刂
劅	罒 勹 口 虫无口 刂
劆	广 丷 1 聿三 兼无䒑无彐 刂
劇	虍 1 豕省 刂
劈	辟字旁 辛 刀
劉	留字头 金 刂
劊	亼 曾字头无丷 日 刂
劋	口 口 口 木 刂
劌	止 戌三 2 3 3 戈无一 刂
劍	亼 口 口 人 人 刂
劎	亼 口 口 人 人 刀
劏	龸 口 田 刂
劐	艹 亻 隹字边 又 刂
劑	亠 丷 2 刀 卬字旁 4 乔字底 二 刂
劒	亼 口 口 人 人 刃
劓	3 目 田 丌 刂
劔	亼 口 口 人 人 刀 4
劕	反字框 丅 反字框 丅 目 八 刂
劖	负字头 口 比字旁 匕 兔 刂
劗	3 土 儿 3 土 儿 目 八 刂
劘	广 木 木 非 刂
劙	6 5 1 豕省 口 虫无口 口 虫无口 刂
劚	尸 2 率字腰 罒 勹 口 虫无口 刂
力	5 3
劜	5 3 6
劝	又 5 3
办	5 3 横两点
功	丅 1 5 3
加	5 3 口
务	夂 5 3
劢	1 万无横 5 3
劣	少三 3 5 3
劤	反字框 丅 5 3
劥	亠 几 5 3
劦	5 3 5 3 5 3
劧	手 5 3
动	二 厶 5 3
助	见二 三 5 3
努	女 又 5 3
劫	土 厶 5 3
劬	句 5 3
劭	刀 口 5 3
劮	3 夫 5 3
劯	丆 口 5 3
劰	3 日 5 3
励	厂 1 万无横 5 3
劲	经右角 丅 1 5 3
劳	艹 冖 5 3
労	学无子 5 3
劵	丷 夫 5 3
劶	反字框 1 口 5 3
劷	丷 1 夫三 5 3
劸	土 土 5 3
効	六 乂 5 3
劺	厶 3 举字底 5 3
劻	1 王 6 5 3
劼	士 口 5 3
劽	歹 刂 5 3
劾	亠 亥无亠无人 人 5 3
势	扌 丸 5 3
勀	十 兄 5 3
勁	1 巛 丅 1 5 3
勂	3 土 口 5 3
勃	十 冖 5 子字底 5 3
勄	卧人 6 5 亠 4 5 3
勅	1 口 木无横 5 3
勆	4 即字旁 5 3
勇	5 4 冂 举字底 5 3
勈	5 4 冂 举字底 5 3
勉	免 5 3
勊	十 兄 5 3
勋	口 见二 人 5 3
勌	丷 夫 5 6 5 3
勍	京 5 3
勎	土 八 土 5 3
勏	立无横 1 口 5 3
勐	5 子字底 皿 5 3
勑	1 人 人 木无横 5 3
勒	革 5 3
勓	比字旁 匕 3 日 5 3
勔	丆 见二 临字旁 三 5 3
動	千二 申 二 5 3
勖	见二 二 目 5 3
勗	日 见二 三 5 3
勘	艹 三 八 6 5 3
務	5 4 矛无龴 夂 5 3
勚	艹 1 6 见二 人 5 3
勛	口 目 八 5 3
勜	八 厶 习 习 5 3
勝	月 丷 夫 5 3
勞	火 火 冖 5 3
募	艹 日 大 5 3
勠	习 习 全字头 彡 5 3
勡	覀 二 小 5 3
勢	土 八 土 丸 5 3
勣	龶 目 八 5 3
勤	艹 1 口 龶 5 3
勥	弓 口 口 虫无口 5 3
勦	巛 日 木 5 3
勧	朱三 亻 隹字边 5 3
勨	象 5 3
勩	艹 1 6 目 八 5 3
勪	夭 口 冂 口 5 3
勫	3 丷 木 田 5 3
勬	丷 夫 幺 小 5 3
勭	立无横 1 甲 二 5 3
勮	虍 1 豕省 5 3
勯	亠 回 日 1 5 3
勰	5 3 5 3 5 3 田 心
勱	艹 日 禺字底 5 3
勲	千二 申 二 5 3 灬
勳	千二 黑五 里无日 灬 5 3
勴	虍 田 心 5 3
勵	厂 艹 日 禺字底 5 3
勶	彳 亠 厶 青字底 攵 5 3
勷	亠 口 口 寒字腰 3 6 水字边 5 3
勸	艹 口 口 亻 隹字边 5 3
勹	勹
勺	勺
勻	勹 二
勼	勹 3 5
勽	勹 人
勾	勹 厶
勿	勹 横两撇
匀	勹 冫
匁	勹 3 4
匂	勹 匕
匃	勹 人 6
匄	勹 亠 6
包	勹 巳
匆	勹 横两撇 4
匇	勹 久二 4
匈	勹 乂 凵
匉	勹 1 丷 十
匊	勹 丷 木
匋	勹 朱三 山
匌	勹 亼 口
匍	勹 1 青字底 2 4
匎	勹 大 日 6
匏	大 二 6 勹 巳
匐	勹 1 口 田
匑	勹 3 青字底 1 3 弓
匒	勹 艹 亼 口
匓	勹 即字旁 殳
匔	勹 3 青字底 1 3 口 口
匕	匕
化	亻 化字边
北	2 二 匕
匘	匕 巛 3 见二 乂 1
匙	日 定字底 匕
匚	1 6
匛	1 久 6
匜	1 韦无二 6 6
匝	1 巾 6
匞	1 丅 1 6
匟	1 亠 几 6
匠	1 反字框 丅 6
匡	1 王 6
匢	1 勹 横两撇 6
匣	1 甲 6
匤	1 王 4 6
匥	1 厶 廾 6
匦	1 东二 毌无框 3 5 6
匧	1 1 人 人 人 6
匨	1 丩 丆 士 6
匩	1 凵 丄 土 6
匪	1 非 6
匫	1 勹 横两撇 日 6
匬	1 亼 青字底 刂 6
匭	1 1 車无一 3 5 6
匮	1 口 丄 见二 人 6
匯	1 氵 亻 隹字边 6
匰	1 口 口 日 十 6
匱	1 口 丄 目 八 6
匲	1 大 口 口 口 6
匳	1 亼 口 口 人 人 6
匴	1 竹头 目 廾 6
匵	1 士 罒 目 八 6
匶	1 艹 亻 隹字边 臼 6
匷	1 目 目 亻 隹字边 6
匸	1 6
匹	1 儿 6
区	1 乂 6
医	1 卧人 大 6
匼	1 亼 口 6
匽	1 日 女 6
匾	1 4 尸 冂 艹 6
匿	1 艹 左字框 口 6
區	1 口 口 口 6
十	十
卂	5 十
千	3 十
卄	艹
卅	1 川
卆	3 5 十
升	3 廾
午	卧人 十
卉	十 廾
半	丷 举字底
卋	十 艹 1
卌	1 四竖
卍	5 2 1 2
华	亻 化字边 十
协	十 5 3 横两点
卐	6 1 2 1
卑	卑
卒	亠 人 人 十
卓	卢字头 早
協	十 5 3 5 3 5 3
单	丷 日 十
卖	十 5 冬字底 大
南	十 冂 丷 干
単	学字头 日 十
卙	艹 三 八 6 十
博	十 1 青字底 2 4 寸
卛	言 幺 横三点 幺 横三点 十
卜	2 4
卝	卝
卞	4 下
卟	口 2 4
占	卢字头 口
卡	卡
卢	卢字头 尸
卣	卢字头 见二 叚右角 1
卤	卢字头 见二 乂 1
卥	卢字头 见二 横两撇 4 1
卦	土 土 2 4
卧	臣 2 4
卨	卢字头 冎 口
卩	卩
卪	卩 4
卫	节字底 1
卬	卬
卭	丅 1 卩
卮	反字框 1 5 6
卯	卬字旁 3 卩
印	印字旁 卩
危	负字头 厂 5 6
卲	刀 口 卩
即	即字旁 卩
却	土 厶 卩
卵	卬字旁 刀中 卩 4
卶	久二 4 久二 4 卩
卷	丷 夫 5 6
卸	朱三 止 卩
卹	3 皿 卩
卺	5 2 水字框 1 5 6
卻	谷 卩
卼	1 儿 负字头 厂 5 6
卽	3 日 匕 卩
卾	口 口 二 6 卩
卿	卬字旁 3 即字旁 卩
厀	木 全字头 2 率字腰 卩
厁	亼 朩 冬字底 十 节字底
厂	厂
厃	负字头 厂
厄	厂 5 6
厅	厂 1 2
历	厂 5 3
厇	厂 3 七
厈	厂 干
厉	厂 1 万无横
厊	厂 牙二 2 3
压	厂 土 4
厌	厂 犬
厍	厂 东二 十
厎	厂 印字旁 6 4
厏	厂 卧人 2 二
厐	厂 左字框 龙下角 4
厑	厂 口 匕
厒	厂 朱三 山
厓	厂 土 土
厔	厂 1 厶 土
厕	厂 见二 人 刂
厖	厂 左字框 6 彡 4
厗	厂 辛
厘	厂 甲 二
厙	厂 1 車无一
厚	厂 日 5 子字底
厛	厂 口 反字框 丅
厜	厂 3 十 龷 1
厝	厂 龷 日
厞	厂 非
原	厂 3 日 小
厠	厂 目 八 刂
厡	厂 3 日 2 水字框
厢	厂 木 目
厣	厂 犬 甲
厤	厂 3 木 3 木
厥	厂 屰 欠
厦	厂 丆 目 夂
厧	厂 真
厨	厂 1 口 丷 1 寸
厩	厂 即字旁 牙二 儿
厪	厂 艹 1 口 龶
厫	厂 敖字旁 攵
厬	厂 日 夂 2 4 口
厭	厂 日 青字底 犬
厮	厂 艹 三 八 反字框 丅
厯	厂 木 木 6 横两点
厰	厂 尚字头 冂 口 攵
厱	厂 亼 口 口 人 人
厲	厂 艹 日 禺字底
厳	学字头 厂 5 1 耳无一 攵
厴	厂 日 青字底 犬 甲
厵	厂 3 日 小 厂 3 日 小 厂 3 日 小
厶	厶
厷	左字框 厶
厸	厶 厶
厹	3 5 厶
厺	大 厶
去	土 厶
厼	厶 小
厽	厶 厶 厶
厾	5 土 厶
县	见二 三 厶
叀	1 由 厶
叁	厶 大 三
参	厶 大 彡
參	厶 厶 厶 全字头 彡
叄	厶 厶 厶 全字头 三
叅	厶 厶 厶 全字头 2 横三点
叆	二 厶 爫 冖 左字框 又
叇	二 厶 聿三 2 率字腰 辶
又	又
叉	又 4
及	及二 4
友	左字框 又
双	又 又
反	反
収	丩 又
叏	5 十 又
叐	3 左字框 又
发	6 3 又 4
叒	又 又 又
叓	1 口 2 又
叔	上 小 又
叕	又 又 又 又
取	1 耳无一 又
受	爫 冖 又
变	亠 变字头无亠 又
叙	亼 朩 又
叚	叚右角 2 二 叚右角 又
叛	丷 夫三 反
叜	宀 火 又
叝	土 厶 卩 又
叞	尸 二 小 又
叟	臼 2 又
叠	又 又 又 冖 见二 三
叡	卢字头 冖 1 八 全字头 目 又
叢	业无横 1 丷 干 1 耳无一 又
口	口
古	十 口
句	句
另	另
叧	口 刀
叨	口 刀
叩	口 卩
只	只
叫	口 丩
召	刀 口
叭	口 八
叮	口 1 2
可	1 口 2
台	厶 口
叱	口 化字边
史	口 乂
右	左字框 口
叴	3 5 口
叵	1 口 6
叶	口 十
号	口 1 6
司	5 1 口
叹	口 又
叺	口 3 4
叻	口 5 3
叼	口 5 1
叽	口 几
叾	5 2 口
叿	口 丅 1
吀	口 3 十
吁	口 1 于无横
吂	吂
吃	口 卧人 5
各	夂 口
吅	口 口
吆	口 幺
吇	口 5 子字底
合	亼 口
吉	士 口
吊	口 巾
吋	口 寸
同	同
名	久二 4 口
后	反字框 1 口
吏	1 口 乂
吐	口 土
向	向
吒	口 3 七
吓	口 下
吔	口 韦无二 6
吕	口 口
吖	口 丷 2
吗	口 马
吘	口 卧人 十
吙	口 火
吚	口 聿三 3
君	聿三 3 口
吜	口 5 里无日
吝	亠 乂 口
吞	1 大 口
吟	口 亽 5
吠	口 犬
吡	口 比字旁 匕
吢	心 口
吣	口 心
吤	口 全字头 乔字底
吥	口 丆 2 4
否	丆 2 4 口
吧	口 巴三 6
吨	口 1 凵 6
吩	口 八 刀
吪	口 亻 化字边
含	亽 5 口
听	口 反字框 丅
吭	口 亠 几
吮	口 厶 儿
启	4 尸 口
吰	口 左字框 厶
吱	口 十 又
吲	口 弓 2
吳	口 6 大
吴	口 1 大
吵	口 少三 3
吶	口 冂 3 4
吷	口 5 大
吸	口 及二 4
吹	口 欠
吺	口 殳
吻	口 勹 横两撇
吼	口 5 子字底 6
吽	口 3 举字底
吾	丅 5 1 口
吿	3 举字底 口
呀	口 牙二 2 3
呁	口 勹 冫
呂	口 3 口
呃	口 厂 5 6
呄	乃 十 口
呅	口 亠 乂
呆	口 木
呇	2 水字框 口
呈	口 王
呉	口 6 1 八
告	3 土 口
呋	口 夫
呌	口 冬字底 十
呍	口 二 厶
呎	口 尸 4
呏	口 3 廾
呐	口 内
呑	夭 口
呒	口 无
呓	口 艹 5
呔	口 大 4
呕	口 1 乂 6
呖	口 厂 5 3
呗	口 见二 人
员	口 见二 人
呙	口 内
呚	口 攵
呛	口 全字头 5 6
呜	口 乌
呝	口 4 尸 5
呞	口 5 1 口
呟	口 亠 幺
呠	口 本
呡	口 民字框 1 6
呢	口 尸 匕
呣	口 6 5 亠 4
呤	口 亽 5 4
呥	口 冂 里无日
呦	口 幺 5 3
呧	口 印字旁 6 4
周	周字框 土 口
呩	口 二 小
呪	口 兄
呫	口 卢字头 口
呬	口 见二 儿 1
呭	口 艹 1 6
呮	口 只
呯	口 1 丷 十
呰	止 匕 口
呱	口 瓜
呲	口 止 匕
味	口 未
呴	口 句
呵	口 1 口 2
呶	口 女 又
呷	口 甲
呸	口 丆 2 4 1
呹	口 3 夫
呺	口 口 1 6
呻	口 申
呼	口 3 丷 于无横
命	亼 口 卩
呾	口 日 1
呿	口 土 厶
咀	口 见二 三
咁	口 艹 二
咂	口 1 巾 6
咃	口 亻 韦无二 6
咄	口 出
咅	立无横 1 口
咆	口 勹 巳
咇	口 必
咈	口 弓 乔字底
咉	口 见二 大
咊	口 3 木
咋	口 卧人 2 二
和	3 木 口
咍	口 厶 口
咎	夂 2 4 口
咏	口 4 5 水字框
咐	口 亻 寸
咑	口 扌 1 2
咒	口 口 几
咓	口 瓦
咔	口 卡
咕	口 十 口
咖	口 5 3 口
咗	口 左字框 丅 1
咘	口 左字框 巾
咙	口 左字框 龙下角 4
咚	口 夂 冬字底
咛	口 宀 1 2
咜	口 它
咝	口 丝左角 丝左角 1
咞	口 开
咟	口 丆 日
咠	口 1 耳无一
咡	口 1 耳无一
咢	口 口 二 6
咣	口 尚字头 1 儿
咤	口 宀 3 七
咥	口 1 厶 土
咦	口 1 弓 人
咧	口 歹 刂
咨	冫 欠 口
咩	口 丷 1 举字底
咪	口 丷 木
咫	尸 4 只
咬	口 六 乂
咭	口 士 口
咮	口 朱
咯	口 夂 口
咰	口 勹 日
咱	口 3 目
咲	口 丷 1 大
咳	口 亠 亥无亠无人 人
咴	口 左字框 火
咵	口 大 二 6
咶	口 3 十 口
咷	口 3 冫 6 飞无折
咸	戌三 口 戈无一
咹	口 宀 女
咺	口 1 日 1
咻	口 亻 木
咼	冎 口
咽	口 见二 大 1
咾	口 老
咿	口 亻 聿三 3
哀	享字头 3 6 水字边
品	口 口 口
哂	口 西
哃	口 同
哄	口 共
哅	口 勹 乂 凵
哆	口 久二 4 久二 4
哇	口 土 土
哈	口 亼 口
哉	土 口 戈无一
哊	口 左字框 青字底
哋	口 土 韦无二 6
哌	口 反字框 卬字旁 水字边
响	口 向
哎	口 艹 乂
哏	口 艮
哐	口 1 王 6
哑	口 1 业无横 1
哒	口 大 辶
哓	口 1 ​戈​无亠 1 儿
哔	口 比字旁 匕 十
哕	口 山 久二 4
哖	口 年
哗	口 亻 化字边 十
哘	口 彳 二 2
哙	口 全字头 二 厶
哚	口 几 木
哛	口 匕 八 刀
哜	口 亠 乂 乔字底
哝	口 冖 3 6 水字边
哞	口 厶 3 举字底
哟	口 丝左角 1 勺
哠	口 3 土 口
員	口 目 八
哢	口 王 廾
哣	口 1 口 丷 1
哤	口 左字框 6 彡 4
哥	1 口 2 1 口 2
哦	口 3 扌 戈无一
哧	口 土 亦字底
哨	口 尚字头 青字底
哩	口 甲 二
哪	口 5 夫三 阝
哫	口 口 龰
哬	口 亻 1 口 2
哭	口 口 犬
哮	口 十 左字框 5 子字底
哯	口 目 儿
哰	口 宀 3 举字底
哱	口 十 冖 5 子字底
哲	扌 反字框 丅 口
哳	口 扌 反字框 丅
哴	口 4 艮
哵	口 另 刂
哶	口 卝 干
哷	口 爫 寸
哸	口 爫 女
哹	口 爫 5 子字底
哺	口 1 青字底 2 4
哻	口 日 干
哼	口 享字头 5 2
哽	口 1 日 乂
哾	口 丷 兄
哿	5 3 口 1 口 2
唀	口 3 木 乃
唁	口 言
唂	口 谷
唃	口 角
唄	口 目 八
唅	口 亽 5 口
唆	口 厶 八 夂
唇	厂 二 6 水字边 口
唈	口 口 巴三 6
唉	口 厶 卧人 大
唊	口 1 人 人 人
唋	口 亼 朩
唌	口 延字心 5 4
唍	口 宀 二 儿
唎	口 3 木 刂
唏	口 乂 左字框 巾
唐	广 聿三 2 口
唑	口 人 人 土
唒	口 西无一 二
唓	口 1 車无一
唔	口 丅 5 1 口
唕	口 3 日 十
唖	口 1 口 临字旁 1
唗	口 土 龰
唘	丆 口 又 口
唙	口 犭二 3 火
唚	口 彐 冖 又
唛	口 麦
唜	末 口 匕
唝	口 丅 1 见二 人
唞	口 扌 冬字底 十
唟	土 厶 口 匕
唠	口 艹 冖 5 3
唡	口 1 冂 人 人
唢	口 尚字头 见二 人
唣	口 3 日 七
唤	口 负字头 见二 大
唥	口 冫 亽 5 4
唦	口 氵 少三 3
唧	口 即字旁 卩
唨	口 阝 见二 三
唩	口 3 木 女
唪	口 三 人 举字底
唫	口 金
唬	口 虍 几
唭	口 艹 三 八
售	亻 隹字边 口
唯	口 亻 隹字边
唰	口 尸 巾 刂
唱	口 日 日
唲	口 臼 儿
唳	口 4 尸 犬
唴	口 丷 三 儿
唵	口 大 日 6
唶	口 龷 日
唷	口 亠 厶 青字底
唸	口 亽 5 心
唹	口 方 全字头 冬字底
唺	口 见二 龷 八
唻	口 1 人 人 木无横
唼	口 立无横 1 女
唽	口 木 反字框 丅
唾	口 3 十 龷 1
唿	口 勹 横两撇 心
啀	口 厂 土 土
啁	口 周字框 土 口
啂	口 爫 5 子字底 6
啃	口 止 青字底
啄	口 豕二 豸字底 4 水字边
啅	口 卢字头 早
商	立无横 冂 八 口
啇	立无横 冂 十 口
啈	口 土 丷 干
啉	口 木 木
啊	口 阝 1 口 2
啋	口 爫 木
啌	口 宀 八 丅 1
啍	口 享字头 5 子字底
啎	卧人 十 丅 5 1 口
問	門字旁 門字边 口
啐	口 亠 人 人 十
啑	口 1 聿三 龰
啒	口 尸 出
啓	4 尸 攵 口
啔	4 尸 1 戈无一 口
啕	口 勹 朱三 山
啖	口 火 火
啗	口 负字头 臼
啘	口 宀 久二 4 5 6
啙	止 匕 口 口
啚	口 十 回
啛	口 1 聿三 2 女
啜	口 又 又 又 又
啝	口 3 木 口
啞	口 1 亞无二 1
啟	4 尸 口 攵
啠	反字框 丅 反字框 丅 口
啡	口 非
啢	口 1 巾 3 4 3 4
啣	口 朱三 止 卩
啤	口 卑
啥	口 全字头 干 口
啦	口 扌 立无横 1
啧	口 龶 见二 人
啨	口 龶 青字底
啩	口 土 土 2 4
啪	口 扌 3 日
啫	口 十 左字框 日
啬	十 丷 1 回
啭	口 东二 毌无框 二 6 4
啮	口 止 齿字底
啯	口 见二 王 4 1
啰	口 罒 久二 4
啱	口 山 丆 口
啲	口 3 日 勺
啳	口 丷 夫 5 6
啴	口 丷 日 十
啵	口 氵 皮
啶	口 宀 定字底
啷	口 4 即字旁 阝
啸	口 聿三 2 乔字底 八
啹	口 尸 十 口
啺	口 日 1 勹 横两撇
啻	立无横 冖 巾 口
啼	口 立无横 冖 巾
啽	口 亼 口 廾
啾	口 3 木 火
啿	口 艹 三 八 6
喀	口 宀 夂 口
喁	口 日 禺字底
喂	口 田 1 6 水字边
喃	口 十 冂 丷 干
善	丷 1 举字底 丷 1 口
喅	口 日 立无横 1
喆	士 口 士 口
喇	口 1 口 木无横 刂
喈	口 比字旁 匕 3 日
喉	口 亻 5 1 卧人 大
喊	口 戌三 口 戈无一
喋	口 艹 1 6 木
喌	口 口 刀中 4 2 4 2
喍	口 止 匕 木
喎	口 冎 口
喏	口 艹 左字框 口
喐	口 左字框 青字底 阝
喑	口 立无横 1 日
喒	口 夂 2 4 日
喓	口 覀 女
喔	口 尸 1 厶 土
喕	口 丆 见二 临字旁 三
喖	口 木 十 口
喗	口 冖 1 車无一
喘	口 山 丆 冂 临字旁
喙	口 6 5 1 豕省
喚	口 负字头 奐字腰 大
喛	口 爫 无三 又
喜	士 口 丷 1 口
喝	口 日 勹 人 6
喞	口 3 日 匕 卩
喟	口 田 青字底
喠	口 千二 申 二
喡	口 5 丄 口 牙二 2
喢	口 3 十 臼
喣	口 句 灬
喤	口 3 日 王
喥	口 广 艹 1 又
喦	口 口 口 山
喧	口 宀 1 日 1
喨	口 享字头 冖 几
喩	口 3 4 1 青字底 巜
喪	十 口 口 1 6 水字边
喫	口 三 2 刀 大
喬	夭 口 冂 口
喭	口 立无横 厂 彡
單	口 口 日 十
喯	口 大 十 廾
喰	口 亽 艮
喱	口 厂 甲 二
喲	口 幺 横三点 勺
喳	口 木 日 1
喴	口 戌三 女 戈无一
喵	口 艹 田
営	学无子 口 口
喷	口 十 艹 见二 人
喸	1 青字底 2 4 口 匕
喹	口 大 土 土
喺	口 亻 3 幺 小
喻	口 亼 青字底 刂
喼	口 负字头 彐 心
喽	口 丷 木 女
喾	学无子 3 土 口
喿	口 口 口 木
嗀	士 冖 口 殳
嗁	口 反字框 虍 几
嗂	口 爫 朱三 山
嗃	口 享字头 冂 口
嗄	口 丆 目 夂
嗅	口 3 目 犬
嗆	口 亽 彐 3 口
嗇	十 人 人 1 回
嗈	口 巛 口 巴三 6
嗉	口 龶 幺 小
嗊	口 丅 1 目 八
嗋	口 5 3 5 3 5 3 青字底
嗌	口 丷 1 八 皿
嗍	口 屰 月
嗎	口 馬字框 灬
嗏	口 艹 全字头 朩
嗐	口 宀 三 2 口
嗑	口 土 厶 皿
嗒	口 艹 亼 口
嗓	口 又 又 又 木
嗔	口 真
嗕	口 厂 二 6 水字边 寸
嗖	口 臼 2 又
嗗	口 骨字头 青字底
嗘	口 爫 幺 大
嗙	口 立无横 冖 方
嗚	口 烏省 灬
嗛	口 丷 1 聿三 兼无䒑无彐
嗜	口 老 日
嗝	口 鬲
嗞	口 丷 1 幺 幺
嗟	口 丷 1 夫三 丅 1
嗠	爫 5 子字底 夂 口
嗡	口 八 厶 习 习
嗢	口 日 皿
嗣	口 冂 艹 5 1 口
嗤	口 凵 丄 口 虫无口
嗥	口 3 日 大 十
嗦	口 十 冖 幺 小
嗧	5 3 口 亼 冂 艹
嗨	口 氵 卧人 6 5 亠 4
嗩	口 尚字头 目 八
嗪	口 三 人 3 木
嗫	口 1 耳无一 又 又
嗬	口 艹 亻 1 口 2
嗭	十 见二 四横 口 匕
嗮	口 日 西
嗯	口 见二 大 1 心
嗰	口 亻 见二 十 口 1
嗱	口 亼 口 手
嗲	口 八 乂 久二 4 久二 4
嗳	口 爫 冖 左字框 又
嗴	口 丷 三 儿 厶
嗵	口 5 4 冂 举字底 辶
嗶	口 日 龷 十
嗷	口 敖字旁 攵
嗸	敖字旁 攵 口
嗹	口 1 車无一 辶
嗺	口 山 亻 隹字边
嗻	口 广 艹 1 灬
嗼	口 艹 日 大
嗽	口 1 口 木无横 欠
嗾	口 方 卧人 卧人 大
嗿	口 亽 5 目 八
嘀	口 立无横 冂 十 口
嘁	口 厂 上 小 戈无一
嘂	口 口 丩 口 口
嘃	口 广 聿三 青字底 2
嘄	口 鳥省 木
嘅	口 即字旁 牙二 儿
嘆	口 艹 1 口 夫
嘇	口 厶 厶 厶 全字头 彡
嘈	口 1 曲 日
嘉	士 口 丷 1 5 3 口
嘊	口 山 厂 土 土
嘋	口 十 左字框 5 子字底 攵
嘌	口 覀 二 小
嘍	口 衰字腰 口 2 女
嘎	口 丆 目 1 戈无一
嘏	十 口 叚右角 2 二 叚右角 又
嘐	口 习 习 全字头 彡
嘑	口 虍 3 丷 于无横
嘒	口 三 2 三 2 彐
嘓	口 见二 1 口 1 戈无一 1
嘔	口 1 口 口 口 6
嘕	口 1 止 1 6 灬
嘖	口 龶 目 八
嘗	龸 口 匕 日
嘘	口 虍 业无横 1
嘙	口 氵 皮 女
嘚	口 彳 日 1 寸
嘛	口 广 木 木
嘜	口 1 人 人 木无横 夂
嘝	口 角 冬字底 十
嘞	口 革 5 3
嘟	口 十 左字框 日 阝
嘠	口 丆 见二 二 冖 1 戈无一
嘡	口 龸 口 土
嘢	口 甲 二 5 4 5 2
嘣	口 山 月 月
嘤	口 见二 人 见二 人 女
嘥	口 彳 止 龰
嘦	只 覀 女
嘧	口 宀 必 山
嘨	口 聿三 2 乔字底 丷 1 八
嘩	口 艹 1 龷 十
嘪	口 罒 目 八
嘫	口 久二 冬字底 犬 灬
嘬	口 日 1 耳无一 又
嘭	口 士 口 丷 1 彡
嘮	口 火 火 冖 5 3
嘯	口 聿三 2 乔字底 2 1 6 1 5 1 2
嘰	口 幺 幺 1 戈无一
嘱	口 尸 3 口 禺字底
嘲	口 十 早 月
嘳	口 口 丄 目 八
嘴	口 止 匕 角
嘵	口 土 土 土 1 儿
嘶	口 艹 三 八 反字框 丅
嘷	口 3 目 率字腰 十
嘸	口 朱三 四竖 1 灬
嘹	口 大 丷 日 小
嘺	口 夭 口 冂 口
嘻	口 士 口 丷 1 口
嘼	口 口 田 1 口
嘽	口 口 口 日 十
嘾	口 覀 早
嘿	口 黑五 里无日 灬
噀	口 巳 巳 共
噁	口 1 亞无二 1 心
噂	口 丷 西无一 二 寸
噃	口 3 丷 木 田
噄	口 三 2 刀 幺 小
噅	口 爫 3 5 5 5 灬
噆	口 牙二 儿 牙二 儿 日
噇	口 立无横 1 甲 二
噈	口 京 左字框 6 4
噉	口 5 1 耳无一 攵
噊	口 5 4 矛无龴 冂 八 口
噋	口 享字头 5 子字底 攵
噌	口 丷 曾字头无丷 日
噍	口 亻 隹字边 灬
噎	口 士 冖 1 口 丷 1
噏	口 亼 口 习 习
噐	口 口 丅 1 口 口
噑	口 3 日 率字腰 十
噒	口 丷 木 久二 4 牙二 2
噓	口 虍 虛字底无一 1
噔	口 5 4 横两撇 4 1 口 丷 1
噕	爫 3 5 5 5 灬 口
噖	口 王 王 亽 5
噗	口 业无横 1 丷 1 夫
噘	口 厂 屰 欠
噙	口 全字头 亠 乂 凵 禸
噚	口 彐 丅 1 口 寸
噛	口 止 丷 木 凵
噜	口 鱼省 1 日
噝	口 幺 横三点 幺 小
噞	口 亼 口 口 人 人
噟	广 亻 亻 隹字边 口
噠	口 土 丷 1 举字底 辶
噡	口 负字头 厂 八 言
噢	口 3 冂 丷 木 大
噣	口 罒 勹 口 虫无口
噤	口 木 木 二 小
噥	口 曲 厂 二 6 水字边
噦	口 止 戌三 2 3 3 戈无一
噧	口 艹 日 禺字底
器	口 口 犬 口 口
噩	丅 口 口 1
噪	口 口 口 口 木
噫	口 立无横 1 日 心
噬	口 竹头 丅 人 人 1
噭	口 3 日 方 攵
噮	口 罒 1 口 3 6 水字边
噯	口 爫 冖 心 夂
噰	口 亠 丝左角 3 亻 隹字边
噱	口 虍 1 豕省
噲	口 亼 曾字头无丷 日
噳	口 虍 口 1 大
噴	口 十 艹 目 八
