一	1
僼	亻 曲 1 口 丷 1
僽	亻 3 木 火 心
僾	亻 爫 冖 心 夂
僿	亻 宀 寒字腰 八 土
儀	亻 丷 王 3 扌 戈无一
儁	亻 亻 隹字边 2 5 冂
儂	亻 曲 厂 二 6 水字边
儃	亻 亠 回 日 1
億	亻 立无横 1 日 心
儅	亻 龸 口 田
儆	亻 艹 句 攵
儇	亻 罒 1 口 3 6 水字边
儈	亻 亼 曾字头无丷 日
儉	亻 亼 口 口 人 人
儊	亻 木 木 5 龰
儋	亻 负字头 厂 八 言
儌	亻 3 日 方 攵
儍	亻 乂 鬯四点 凵 八 夂
儎	亻 土 1 車无一 戈无一
儏	亻 卢字头 久二 4 又 丷 木
儐	亻 宀 1 2 3 3 目 八
儑	亻 日 幺 幺 灬
儒	亻 雨头 丆 冂 临字旁
儓	亻 士 口 冖 1 厶 土
儔	亻 士 5 丅 1 1 口 寸
儕	亻 亠 丷 2 刀 卬字旁 4 乔字底 二
儖	亻 臣 临右角 皿
儗	亻 匕 卧人 大 5 4 5 龰
儘	亻 聿三 丄 灬 皿
儙	亻 口 丄 㠯 辶
儚	亻 艹 罒 冖 久二 4
儛	亻 朱三 四竖 1 久二 4 牙二 2
儜	亻 宀 心 皿 1 2
儝	亻 火 火 冖 木
儞	亻 1 八 巾 乂 乂 乂 乂
償	亻 龸 口 目 八
儠	亻 巛 见二 乂 1 鼠字底
儡	亻 田 田 田
儢	亻 虍 田 心
儣	亻 广 龷 由 八
儤	亻 日 共 2 率字腰
儥	亻 士 罒 目 八
儦	亻 鹿 灬
儧	亻 夫 夫 目 八
儨	亻 反字框 丅 反字框 丅 目 八
儩	亻 目 八 日 勹 横两撇
優	亻 丆 见二 二 冖 心 夂
儫	亻 享字头 冖 1 豕省
儬	亻 龶 青字底 目 儿
儭	亻 立无横 1 朩 目 儿
儮	亻 厂 3 木 3 木 止
儯	亻 丷 夫 馬字框 灬
儰	亻 艹 爫 3 5 5 5 灬
儱	亻 立无横 1 青字底 龍字边
儲	亻 言 十 左字框 日
儳	亻 负字头 口 比字旁 匕 兔
儴	亻 亠 口 口 寒字腰 3 6 水字边
儵	亻 2 夂 黑五 里无日 灬
儶	亻 山 亻 隹字边 冂 八 口
儷	亻 1 冂 4 1 冂 4 鹿
儸	亻 罒 幺 横三点 亻 隹字边
儹	亻 3 土 儿 3 土 儿 目 八
儺	亻 艹 1 口 夫 亻 隹字边
儻	亻 龸 口 黑五 里无日 灬
儼	亻 口 口 厂 5 1 耳无一 攵
儽	亻 田 田 田 幺 小
儾	亻 囊字头 口 口 寒字腰 3 6 水字边
儿	儿
兀	1 儿
允	厶 儿
兂	牙二 儿
元	二 儿
兄	兄
充	亠 厶 儿
兆	3 冫 6 飞无折
兇	乂 凵 儿
先	3 土 儿
光	尚字头 1 儿
兊	八 厶 儿
克	十 兄
兌	八 兄
免	免
兎	3 口 儿 4
兏	反字框 上 儿
児	2 日 儿
兑	丷 兄
兒	臼 儿
兓	牙二 儿 牙二 儿
兔	兔
兕	2 5 见二 1 儿
兖	六 厶 儿
兗	六 兄
兘	二 儿 厶 口
兙	十 兄 十
党	龸 口 儿
兛	十 兄 3 十
兜	3 日 卬字旁 叚右角 儿
兝	十 兄 八 刀
兞	十 兄 千二 七
兟	3 土 儿 3 土 儿
兠	3 日 2 二 匕 儿
兡	十 兄 丆 日
兢	十 兄 十 兄
兣	十 兄 厂 甲 二
兤	尚字头 1 儿 广 龷 由 八
入	3 4
兦	3 4 6
內	冂 3 4
全	全
兩	1 巾 3 4 3 4
兪	3 4 1 青字底 巜
八	八
公	八 厶
六	六
兮	八 1 6
兯	丷 节字底
兰	丷 三
共	共
兲	王 八
关	丷 1 大
兴	学字头 1 八
兵	丘 八
其	艹 三 八
具	见二 四横 八
典	见二 龷 八
兹	丷 1 幺 幺
兺	八 刀 口 匕
养	丷 1 夫 乔字底
兼	丷 1 聿三 兼无䒑无彐
兽	丷 田 1 口
兾	丷 田 共
兿	丷 1 扌 丸 二 厶
冀	2 二 匕 田 共
冁	丷 日 十 尸 龷 6 水字边
冂	冂
冃	冂 二
冄	冂 二
内	内
円	冂 丄
冇	左字框 冂
冈	冂 乂
冉	冂 里无日
冊	冂 冊字心
冋	冂 口
册	周字框 周字框 1
再	1 冂 里无日
冎	冎
冏	冂 八 口
冐	见二 二 青字底
冑	由 冂 二
冒	见二 二 目
冓	寒字腰 冂 里无日
冔	见二 二 口 1 于无横
冕	见二 二 免
冖	冖
冗	冖 几
冘	冖 儿
写	冖 与
冚	冖 山
军	冖 东二 十
农	冖 3 6 水字边
冝	冖 见二 三
冞	冖 丷 木
冟	冖 3 日 匕
冠	冖 二 儿 寸
冡	冖 1 1 豕省
冢	冖 豕二 豸字底 4 水字边
冣	冖 1 耳无一 又
冤	冖 兔
冥	冖 日 六
冦	冖 二 儿 攴
冧	冖 木 木
冨	冖 1 口 田
冩	冖 臼 勹 灬
冪	冖 艹 日 大 巾
冫	冫
冬	夂 冬字底
冭	大 冬字底
冮	冫 丅 1
冯	冫 马
冰	冫 2 水字框
冱	冫 1 6 5 1
冲	冫 口 2
决	冫 5 大
冴	冫 牙二 2 3
况	冫 兄
冶	冫 厶 口
冷	冫 亽 5 4
冸	冫 丷 举字底
冹	冫 左字框 又 4
冺	冫 民字框 1 6
冻	冫 东
冼	冫 3 土 儿
冽	冫 歹 刂
冾	冫 亼 口
冿	冫 聿三 举字底
净	冫 负字头 聿三 2
凁	冫 1 口 木无横
凂	冫 免
凃	冫 亼 朩
凄	冫 1 聿三 2 女
凅	冫 见二 十 口 1
准	冫 亻 隹字边
凇	冫 木 八 厶
凈	冫 爫 聿三 2
凉	冫 京
凊	冫 龶 青字底
凋	冫 周字框 土 口
凌	冫 土 八 夂
凍	冫 1 日 木无横
凎	冫 金
减	冫 戌三 口 戈无一
凐	冫 覀 土
凑	冫 三 人 1 大
凒	冫 山 1 口 丷 1
凓	冫 覀 木
凔	冫 亽 彐 3 口
凕	冫 冖 日 六
凖	冫 亻 隹字边 十
凗	冫 山 亻 隹字边
凘	冫 艹 三 八 反字框 丅
凙	冫 罒 土 丷 干
凚	冫 木 木 二 小
凛	冫 亠 回 二 小
凜	冫 亠 回 3 木
凝	冫 匕 卧人 大 5 4 5 龰
凞	冫 3 臣 巳 灬
凟	冫 士 罒 目 八
几	几
凡	凡
凢	3 几
凣	2 几
凤	风省 又
凥	尸 几
処	夂 几
凧	风省 巾
凨	风省 二 厶
凩	风省 木
凪	风省 止
凫	鸟省 几
凬	风省 1 日
凭	亻 3 士 几
凮	风省 丆 日
凯	山 己 几
凰	风省 3 日 王
凱	山 1 口 丷 1 几
凲	风省 丷 1 聿三 兼无䒑无彐
凳	5 4 横两撇 4 1 口 丷 1 几
凴	冫 馬字框 灬 几
凵	凵
凶	乂 凵
凷	土 凵
凸	2 1 2 5 1
凹	2 5 见二 1
出	出
击	举字底 凵
凼	2 水字框 凵
函	5 2 率字腰 凵
凾	5 2 口 又 凵
凿	业无横 1 丷 干 凵
刀	刀
刁	5 1
刂	刂
刃	刃
刄	刀 4
刅	刀 横两点
分	八 刀
切	七 刀
刈	乂 刂
刉	卧人 5 刂
刊	干 刂
刋	3 左字框 刂
刌	寸 刂
刍	负字头 彐
刎	勹 横两撇 刂
刏	气 刂
刐	周字框 亠 刂
刑	开 刂
划	1 戈无一 刂
刓	二 儿 刂
刔	5 大 刂
刕	刀 刀 刀
刖	月 刂
列	歹 刂
刘	亠 乂 刂
则	见二 人 刂
刚	冂 乂 刂
创	全字头 5 6 刂
刜	弓 乔字底 刂
初	礻三 水字边 刀
刞	见二 三 刂
刟	刀 口 刂
删	周字框 周字框 1 刂
刡	民字框 1 6 刂
刢	亽 5 4 刂
刣	厶 口 刂
判	丷 夫三 刂
別	口 別字旁底 刂
刦	土 厶 刂
刧	土 厶 刀
刨	勹 巳 刂
利	3 木 刂
刪	冂 冊字心 刂
别	另 刂
刬	二 戈无一 刂
刭	经右角 丅 1 刂
刮	3 十 口 刂
刯	1 日 1 刂
到	1 厶 土 刂
刱	二 乔字底 刀 横两点
刲	土 土 刂
刳	大 二 6 刂
刴	乃 木 刂
刵	1 耳无一 刂
制	朱三 巾 刂
刷	尸 巾 刂
券	丷 夫 刀
刹	乂 朩 刂
刺	1 冂 木无横 刂
刻	亠 亥无亠无人 人 刂
刼	土 厶 刃
刽	全字头 二 厶 刂
刾	1 丷 大 刂
刿	山 久二 4 刂
剀	山 己 刂
剁	几 木 刂
剂	亠 乂 乔字底 刂
剃	丷 弓 2 3 刂
剄	1 巛 丅 1 刂
剅	1 口 丷 1 刂
剆	4 即字旁 刂
則	目 八 刂
剈	口 青字底 刂
剉	人 人 土 刂
削	尚字头 青字底 刂
剋	十 兄 刂
